"","x"
"1960",0
"1961",1
"1962",0
"1963",3
"1964",0
"1965",0
"1966",0
"1967",0
"1968",0
"1969",1
"1970",0
"1971",0
"1972",0
"1973",2
"1974",5
"1975",2
"1976",10
"1977",0
"1978",0
"1979",0
"1980",1
"1981",3
"1982",1
"1983",0
"1984",1
"1985",17
"1986",0
"1987",3
"1988",1
"1989",3
"1990",0
"1991",0
"1992",4
"1993",0
"1994",6
"1995",0
"1996",0
"1997",0
"1998",0
"1999",0
"2000",2
"2001",2
"2002",0
"2003",7
"2004",7
"2005",0
"2006",0
"2007",0
"2008",1
"2009",0
"2010",6
"2011",11
"2012",0
"2013",1
"2014",0
"2015",15
"2016",0
"2017",0
"2018",6
"2019",17
"2020",1
"2021",1
"2022",0
"2023",0
"2024",0
"2025",0
"2026",0
"2027",0
"2028",0
"2029",0
"2030",0
"2031",3
"2032",20
"2033",18
"2034",6
"2035",2
"2036",0
"2037",6
"2038",3
"2039",0
"2040",0
"2041",0
"2042",0
"2043",1
"2044",0
"2045",0
"2046",13
"2047",0
"2048",0
"2049",0
"2050",0
"2051",1
"2052",5
"2053",0
"2054",0
"2055",1
"2056",0
"2057",0
"2058",2
"2059",2
"2060",0
"2061",0
"2062",15
"2063",0
"2064",2
"2065",0
"2066",0
"2067",10
"2068",11
"2069",0
"2070",0
"2071",0
"2072",0
"2073",6
"2074",0
"2075",0
"2076",0
"2077",0
"2078",0
"2079",0
"2080",10
"2081",0
"2082",3
"2083",2
"2084",0
"2085",6
"2086",0
"2087",0
"2088",4
"2089",6
"2090",0
"2091",3
"2092",0
"2093",0
"2094",0
"2095",0
"2096",0
"2097",0
"2098",0
"2099",2
"2100",0
"2101",0
"2102",4
"2103",0
"2104",0
"2105",0
"2106",0
"2107",2
"2108",14
"2109",0
"2110",4
"2111",0
"2112",0
"2113",0
"2114",0
"2115",2
"2116",0
"2117",0
"2118",0
"2119",13
"2120",4
"2121",1
"2122",0
"2123",0
"2124",5
"2125",0
"2126",0
"2127",1
"2128",0
"2129",0
"2130",2
"2131",4
"2132",0
"2133",0
"2134",0
"2135",1
"2136",4
"2137",0
"2138",0
"2139",0
"2140",0
"2141",0
"2142",6
"2143",1
"2144",0
"2145",0
"2146",0
"2147",0
"2148",0
"2149",0
"2150",3
"2151",1
"2152",0
"2153",0
"2154",1
"2155",0
"2156",5
"2157",2
"2158",0
"2159",0
"2160",1
"2161",3
"2162",0
"2163",24
"2164",0
"2165",0
"2166",0
"2167",3
"2168",0
"2169",0
"2170",2
"2171",0
"2172",1
"2173",0
"2174",6
"2175",0
"2176",0
"2177",0
"2178",25
"2179",1
"2180",0
"2181",1
"2182",0
"2183",2
"2184",0
"2185",12
"2186",6
"2187",0
"2188",0
"2189",1
"2190",0
"2191",1
"2192",0
"2193",2
"2194",0
"2195",0
"2196",0
"2197",0
"2198",0
"2199",9
"2200",2
"2201",2
"2202",0
"2203",0
"2204",0
"2205",0
"2206",2
"2207",0
"2208",5
"2209",0
"2210",0
"2211",0
"2212",0
"2213",1
"2214",0
"2215",0
"2216",7
"2217",13
"2218",4
"2219",0
"2220",0
"2221",0
"2222",0
"2223",0
"2224",1
"2225",0
"2226",1
"2227",1
"2228",0
"2229",2
"2230",0
"2231",5
"2232",4
"2233",6
"2234",0
"2235",0
"2236",0
"2237",0
"2238",0
"2239",0
"2240",2
"2241",0
"2242",2
"2243",0
"2244",0
"2245",10
"2246",0
"2247",2
"2248",0
"2249",0
"2250",3
"2251",0
"2252",0
"2253",0
"2254",1
"2255",0
"2256",0
"2257",0
"2258",1
"2259",0
"2260",0
"2261",3
"2262",0
"2263",0
"2264",0
"2265",2
"2266",3
"2267",0
"2268",2
"2269",0
"2270",5
"2271",0
"2272",0
"2273",0
"2274",0
"2275",0
"2276",0
"2277",2
"2278",0
"2279",0
"2280",0
"2281",3
"2282",0
"2283",1
"2284",0
"2285",0
"2286",2
"2287",2
"2288",0
"2289",0
"2290",0
"2291",4
"2292",0
"2293",0
"2294",3
"2295",0
"2296",3
"2297",2
"2298",1
"2299",0
"2300",9
"2301",0
"2302",2
"2303",0
"2304",2
"2305",0
"2306",2
"2307",0
"2308",0
"2309",1
"2310",1
"2311",1
"2312",1
"2313",0
"2314",1
"2315",0
"2316",0
"2317",0
"2318",0
"2319",12
"2320",0
"2321",0
"2322",2
"2323",0
"2324",3
"2325",1
"2326",0
"2327",0
"2328",0
"2329",0
"2330",2
"2331",2
"2332",0
"2333",0
"2334",0
"2335",1
"2336",1
"2337",3
"2338",0
"2339",13
"2340",6
"2341",0
"2342",0
"2343",0
"2344",9
"2345",1
"2346",0
"2347",1
"2348",0
"2349",0
"2350",0
"2351",0
"2352",1
"2353",0
"2354",13
"2355",0
"2356",0
"2357",18
"2358",0
"2359",0
"2360",7
"2361",0
"2362",0
"2363",0
"2364",1
"2365",0
"2366",0
"2367",2
"2368",2
"2369",0
"2370",0
"2371",0
"2372",0
"2373",0
"2374",4
"2375",1
"2376",0
"2377",0
"2378",3
"2379",0
"2380",1
"2381",0
"2382",0
"2383",3
"2384",2
"2385",0
"2386",1
"2387",0
"2388",0
"2389",0
"2390",1
"2391",0
"2392",0
"2393",0
"2394",0
"2395",0
"2396",4
"2397",0
"2398",0
"2399",0
"2400",1
"2401",0
"2402",0
"2403",1
"2404",6
"2405",1
"2406",1
"2407",1
"2408",0
"2409",0
"2410",7
"2411",5
"2412",0
"2413",0
"2414",0
"2415",0
"2416",0
"2417",0
"2418",13
"2419",0
"2420",0
"2421",0
"2422",3
"2423",0
"2424",1
"2425",0
"2426",0
"2427",0
"2428",0
"2429",0
"2430",13
"2431",2
"2432",3
"2433",0
"2434",3
"2435",0
"2436",0
"2437",6
"2438",1
"2439",0
"2440",7
"2441",4
"2442",0
"2443",12
"2444",0
"2445",0
"2446",0
"2447",0
"2448",2
"2449",5
"2450",4
"2451",7
"2452",0
"2453",1
"2454",0
"2455",3
"2456",1
"2457",0
"2458",0
"2459",3
"2460",0
"2461",2
"2462",1
"2463",0
"2464",15
"2465",0
"2466",7
"2467",1
"2468",0
"2469",0
"2470",0
"2471",1
"2472",0
"2473",1
"2474",2
"2475",0
"2476",0
"2477",0
"2478",2
"2479",3
"2480",12
"2481",0
"2482",1
"2483",0
"2484",0
"2485",2
"2486",0
"2487",2
"2488",0
"2489",2
"2490",0
"2491",0
"2492",1
"2493",0
"2494",0
"2495",0
"2496",6
